T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
Kenyon2021,DePauw2021,64,81,53,25,57,31,0.4716981132,0.5438596491,0,-17
Kenyon2021,Ohio Wesleyan2021,58,64,66,23,60,25,0.3484848485,0.4166666667,0,-6
Kenyon2021,Allegheny2021,80,84,70,30,69,27,0.4285714286,0.3913043478,0,-4
Kenyon2021,Grove City2021,64,62,70,28,71,26,0.4,0.3661971831,1,2
Kenyon2021,Oberlin2021,69,82,64,26,69,31,0.40625,0.4492753623,0,-13
Kenyon2021,Earlham2021,73,75,56,26,59,25,0.4642857143,0.4237288136,0,-2
Kenyon2021,Waynesburg2021,68,49,69,26,61,22,0.3768115942,0.3606557377,1,19
Kenyon2021,Oberlin2021,66,77,72,26,52,27,0.3611111111,0.5192307692,0,-11
Kenyon2021,Hiram2021,65,77,67,25,63,29,0.3731343284,0.4603174603,0,-12
Kenyon2021,Wooster2021,77,91,69,33,66,34,0.4782608696,0.5151515152,0,-14
Kenyon2021,Wabash2021,64,92,62,23,61,30,0.3709677419,0.4918032787,0,-28
Kenyon2021,Allegheny2021,80,85,73,30,69,26,0.4109589041,0.3768115942,0,-5
Kenyon2021,Ohio Wesleyan2021,60,79,64,24,61,30,0.375,0.4918032787,0,-19
Kenyon2021,DePauw2021,50,81,65,20,56,27,0.3076923077,0.4821428571,0,-31
Kenyon2021,Wooster2021,57,84,61,22,68,38,0.3606557377,0.5588235294,0,-27
Kenyon2021,Wittenberg2021,64,82,61,25,50,30,0.4098360656,0.6,0,-18
Kenyon2021,Wittenberg2021,69,86,76,27,54,31,0.3552631579,0.5740740741,0,-17
Kenyon2021,Denison2021,55,77,64,22,61,27,0.34375,0.4426229508,0,-22
Kenyon2021,Denison2021,70,72,66,24,68,26,0.3636363636,0.3823529412,0,-2
Kenyon2021,Hiram2021,70,62,60,22,74,24,0.3666666667,0.3243243243,1,8
Kenyon2021,Wabash2021,75,98,60,27,69,34,0.45,0.4927536232,0,-23
